url,tipo,descripcion,servicios,datos_contacto,sede
,         Fútbol 7,,"      Vestuarios,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0261-153693534 Web: http://www.facebook.com/canchasgentile,1 Sedes:  - Sede Mendoza: Canchas Gentile 
,         Fútbol 6,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Parrilla", Tel.: 02284-15605415 Web: http://www.facebook.com/areachica.deportivo,1 Sedes:  - Sede Olavarría: Area Chica Complejo Deportivo 
,         Fútbol 11,"        El Campito Club te ofrece el mejor ambiente para pasarla bien con amigos.  Contamos con seguridad privada, médico y ambulancia con presencia física en cada predio.   El precio que se paga por partido hace que los jugadores pagen el menor precio de la ciudad con la mayor cantidad de servicios a disposición.  Somos el torneo con la mayor cantidad de premios, no porque creamos que sea lo más importante, sino porque nos gusta que los equipos se sientan premiados por su participación.  Los Campeones se miden en un gran torneo de campeones, con los mejores equipos de Córdoba, para poder estrechar relaciones con gente de otros lugares y tener experiencias nuevas.  Organizamos la mejor entrega de premios de la ciudad, pudiendo disfrutar con tus amigos de una noche única al finalizar cada torneo.  En la actualidad, más de 140 equipos participan de las distintas copas, convirtiendose en uno de los torneos más importantes de la región.  ","      Bar / Restaurante,    Ayuda Médica ,    Estacionamiento,    Seguridad"," Tel.: 0221 - 155316319               Fútbol 11              El Campito Club te ofrece el mejor ambiente para pasarla bien con amigos.  Contamos con seguridad privada, médico y ambulancia con presencia física en cada predio.   El precio que se paga por partido hace que los jugadores pagen el menor precio de la ciudad con la mayor cantidad de servicios a disposición.  Somos el torneo con la mayor cantidad de premios, no porque creamos que sea lo más importante, sino porque nos gusta que los equipos se sientan premiados por su participación.  Los Campeones se miden en un gran torneo de campeones, con los mejores equipos de Córdoba, para poder estrechar relaciones con gente de otros lugares y tener experiencias nuevas.  Organizamos la mejor entrega de premios de la ciudad, pudiendo disfrutar con tus amigos de una noche única al finalizar cada torneo.  En la actualidad, más de 140 equipos participan de las distintas copas, convirtiendose en uno de los torneos más importantes de la región.             Bar / Restaurante,    Ayuda Médica ,    Estacionamiento,    Seguridad           ver todas                          ",1 Sedes:  - Sede La Plata: El Campito Club Sur 
,         Fútbol 5,        Torneos amateur fútbol 5. División A & B.,"      Vestuarios,    Gimnasio,    Bar / Restaurante,    Cumpleaños,    Parrilla"," Tel.: 011- 1554169805               Fútbol 5              Torneos amateur fútbol 5. División A & B.           Vestuarios,    Gimnasio,    Bar / Restaurante,    Cumpleaños,    Parrilla           ver todas                          ",1 Sedes:  - Sede Castelar: Complejo Club Castelar 
,         Fútbol 5 y 6,"        Torneos AM es una empresa formada por amigos dedicada a la organización de torneos de fútbol 5 y 6 con el fin de brindarles el mejor servicio, y poder divertirse dentro de una cancha con amigos, compañeros, familia, etc... y tener ese sentimiento hermoso de gritar dale campeón! Excelentes premios como conjunto de camisetas, shorts, medias, pelotas, trofeos y medallas, pelotas, botin al goleador, remera al arquero(Marca kappa y Joma).  Descuentos en distintos restaurantes y boliches del pais, consultar...","      Cumpleaños,    Colegios,    Escuelita de Fútbol,    Bar / Restaurante,    Ayuda Médica ,    Vestuarios,    Parrilla,    Torneos,    Estacionamiento,    Gimnasio,    "," Tel.: 1121651104               Fútbol 5 y 6              Torneos AM es una empresa formada por amigos dedicada a la organización de torneos de fútbol 5 y 6 con el fin de brindarles el mejor servicio, y poder divertirse dentro de una cancha con amigos, compañeros, familia, etc... y tener ese sentimiento hermoso de gritar dale campeón! Excelentes premios como conjunto de camisetas, shorts, medias, pelotas, trofeos y medallas, pelotas, botin al goleador, remera al arquero(Marca kappa y Joma).  Descuentos en distintos restaurantes y boliches del pais, consultar...           Cumpleaños,    Colegios,    Escuelita de Fútbol,    Bar / Restaurante,    Ayuda Médica ,    Vestuarios,    Parrilla,    Torneos,    Estacionamiento,    Gimnasio,               ver todas                          ",4 Sedes:  - Sede Floresta: Homero - Sede Palermo: Justo Fútbol 5 - Sede Abasto: Open Gallo - Sede Villa Crespo: Serrano Corner 
,         Fútbol 8,        Contacto: Francisco / Andres,      Torneos,,1 Sedes:  - Sede Córdoba: Complejo El Cacho 
,         Fútbol 5 y 6,,"      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 156 - 956720 Web: www.prosoccermza.com.ar,1 Sedes:  - Sede Godoy Cruz: Off-side Fútbol 5 
,         Fútbol 5 y 6,,"      Vestuarios,    Torneos", Tel.: 011- 1532362551/9 Web: http://www.elcampitofutbol.com.ar,1 Sedes:  - Sede José C. Paz: El Campito 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños", Tel.: 0381-155291979 Web: www.elmurofutbol5.com.ar,1 Sedes:  - Sede Tucumán: El muro futbol 5 
,"         Fútbol 5, 7 y 11",        Somos la única empresa en Cuyo dedicada exclusivamente a la Recreación Empresarial. ,      Torneos, Tel.: 33661294488 Web: www.suaps.com.ar,1 Sedes:  - Sede Mendoza: Nuevo complejo La Redonda 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla", Tel.: 0351 - 153910584/156699562 Web: http://www.facebook.com/complejo.deportivoyofre,1 Sedes:  - Sede Córdoba: Complejo Deportivo Yofre 
,         Fútbol 6,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 156 - 956720 Web: www.prosoccermza.com.ar,1 Sedes:  - Sede Godoy Cruz: Fútbol en Libertad 
,         Fútbol 5,,"      Torneos,    Estacionamiento", Tel.: 0221- 156472545 Web: http://www.facebook.com/pages/Complejo-de-Futbol-Tiro-Federal/113059238760732,1 Sedes:  - Sede Berriso: Complejo de Futbol Tiro Federal 
,"         Fútbol 5, 7 y 11",        También torneos femeninos.,"      Bar / Restaurante,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento", Tel.: 0351-157653634 Web: www.eltorneo.com.ar,1 Sedes:  - Sede Córdoba: Complejo deportivo la redonda 
,         Fútbol 5,"        Te invitamos a participar de nuestro Torneo de Futbol!    ¿Dónde se Juega?  Av. Monroe 3960 - Villa Urquiza     ¿Qué días se juega?  DOMINGOS entre las 12:00 y las 20:00hs.    ¿Cuándo empieza?  Fecha a determinar por la comisión directiva.    ¿Cómo es el Formato del Torneo?  Se conformará una division de 10 equipos, y se enfrentarán todos vs. todos, solo ida. Luego se formará la llave de eliminación de la cual se obtendrá el CAMPEON!","      Bar / Restaurante,    Vestuarios,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    ,    Parrilla,    Colegios"," Tel.: 4543-5913               Fútbol 5              Te invitamos a participar de nuestro Torneo de Futbol!    ¿Dónde se Juega?  Av. Monroe 3960 - Villa Urquiza     ¿Qué días se juega?  DOMINGOS entre las 12:00 y las 20:00hs.    ¿Cuándo empieza?  Fecha a determinar por la comisión directiva.    ¿Cómo es el Formato del Torneo?  Se conformará una division de 10 equipos, y se enfrentarán todos vs. todos, solo ida. Luego se formará la llave de eliminación de la cual se obtendrá el CAMPEON!           Bar / Restaurante,    Vestuarios,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    ,    Parrilla,    Colegios           ver todas                          ",1 Sedes:  - Sede Belgrano: Club Monroe 
,         Fútbol 9,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Estacionamiento", Tel.: 46592920 Web: www.parador4.com.ar,1 Sedes:  - Sede Ramos Mejia: Parador 4 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Estacionamiento", Tel.: 0381-4308620 Web: www.ligamercantil.com.ar,1 Sedes:  - Sede San Miguel de Tucumán: Futbol 5 SEOC 
,         Fútbol 6,        Se realizan torneos Femeninos.,"      Vestuarios,    Gimnasio,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0221 471-3278 Web: http://www.complejoathletic.com/,1 Sedes:  - Sede La Plata: Athletic complejo deportivo 
,         Fútbol 5,        Contacto: Matias,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Estacionamiento", Tel.: 1536848436  Web: www.epfutbol.com.ar,1 Sedes:  - Sede Palermo: El Puente 
,         Fútbol 8,        Contacto: Julio Sanchez  Torneos femeninos.,"      Vestuarios,    Torneos,    Estacionamiento", Tel.: (0351) – 153115203 Web: www.torneopremium.com.ar,1 Sedes:  - Sede Córdoba: Club Deportivo Alas Argentinas 
,         Fútbol 5,        Se realizan 2 torneos por año uno en otoño y otro en primavera.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños"," Tel.: 1159769090               Fútbol 5              Se realizan 2 torneos por año uno en otoño y otro en primavera.           Vestuarios,    Bar / Restaurante,    Torneos,    Cumpleaños           ver todas                          ",1 Sedes:  - Sede Mercedes: El Tatun Fútbol 5 
,         Fútbol 5,,, Tel.: 0261 - 155508338  Web: http://www.facebook.com/canchas.futeka,1 Sedes:  - Sede Guaymallén: Canchas Futeka 
,         Fútbol 7,        Torneos de fútbol 7 Masculino y Femenino.,"      Vestuarios,    Bar / Restaurante", Tel.: (0348) 462 5941 Web: https://www.facebook.com/mastercamps,1 Sedes:  - Sede Escobar: Cites 
,         Fútbol 7,        Tenemos 2 torneos. 1 los domingos y otro los Sabados. Los dos son iguales.,"      Vestuarios,    Ayuda Médica ,    Torneos,    Bar / Restaurante", Tel.: 0223-4897974 Web: www.catonio.com.ar,1 Sedes:  - Sede Mar del Plata: Catonio Futbol 
,         Fútbol 5,,, Tel.: 03576-15462284               Fútbol 5      ,1 Sedes:  - Sede Arrollito: Cancha Sintetica Bustos 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    ,    Parrilla,    Cumpleaños", Tel.: 0381 - 155156373 Web: http://www.facebook.com/pages/De-Primera-F%C3%BAtbol-5/178444892167485,1 Sedes:  - Sede San Miguel de Tucumán: De Primera - Futbol 5 
,         Fútbol 5,        Contacto: Cristian  A tres cuadras de la estación Lanus.  Edades de 15 a 19 años.     ,"      Torneos,    Estacionamiento"," Tel.: 15-4916-1968               Fútbol 5              Contacto: Cristian  A tres cuadras de la estación Lanus.  Edades de 15 a 19 años.                Torneos,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Lanús: Lanús 5 
,         Fútbol 5,"        El Torneo más completo del Continente: Buenos Aires, Córdoba, Lima.   ","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Estacionamiento,    ", Tel.: 5195-7665 Web: www.aif.lacorpo.la,3 Sedes:  - Sede Palermo: Vilas Club - Sede Nuñez: La Palmera - Sede Lima: Pentagol 
,         Fútbol 5 y 7,,"      Vestuarios,    Bar / Restaurante,    Cumpleaños,    Parrilla,    Ayuda Médica ", Tel.: 1562842012 Web: www.gabar.com.ar,1 Sedes:  - Sede San Isidro: Casablanca Futbol 
,         Fútbol 6,,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Parrilla,    Estacionamiento", Tel.: 156 - 956720 Web: www.prosoccermza.com.ar,1 Sedes:  - Sede Godoy Cruz: Fútbol en Libertad 
,         Fútbol 6,        Contacto: Sebastian  Twitter: @torneoslyg  Facebook: Lujos y Gambetas,      Vestuarios, Tel.: 1558911230               Fútbol 6              Contacto: Sebastian  Twitter: @torneoslyg  Facebook: Lujos y Gambetas           Vestuarios           ver todas                          ,1 Sedes:  - Sede Villa Urquiza: El Campito Villa Urquiza 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante", Tel.: 02262-15503310 Web: www.filmaster.com.ar/futbol,1 Sedes:  - Sede Necochea: Complejo E.F.I. 
,         Fútbol 5,,"      Bar / Restaurante,    Escuelita de Fútbol,    Parrilla", Tel.: 0341 15-570-8033 Web: http://www.facebook.com/pages/Riviera-f%C3%BAtbol-5/196798790376542,1 Sedes:  - Sede Rosario: Riviera fútbol 5 
,         Fútbol 9,"        Torneo disputado por 52 equipos divididos en 3 categorías. se disputan dos diurnos anuales en los cuales se decretan 4 ascensos por cada división e igual cantidad de descensos. Dispone de un predio propio con 5 canchas. se juega de 9 jugadores por equipo.  La gringa reconocida en su ciudad de origen, casilda (sta. fe), se disputa desde el año 2006 ininterrumpida mente y todos los años genera gran expectativa entre sus participantes.   ",      Estacionamiento," Tel.: 03464 15589210               Fútbol 9              Torneo disputado por 52 equipos divididos en 3 categorías. se disputan dos diurnos anuales en los cuales se decretan 4 ascensos por cada división e igual cantidad de descensos. Dispone de un predio propio con 5 canchas. se juega de 9 jugadores por equipo.  La gringa reconocida en su ciudad de origen, casilda (sta. fe), se disputa desde el año 2006 ininterrumpida mente y todos los años genera gran expectativa entre sus participantes.              Estacionamiento           ver todas                          ","1 Sedes:  - Sede Casilda: Complejo "" Graciela Castro"" "
,         Fútbol 7,        Contacto: Nicolas Noriega 1566517659. Canchas de cesped natural.,"      Vestuarios,    Torneos,    Parrilla,    Estacionamiento", Tel.: 1566517659 Web: www.westfutbol.com.ar,1 Sedes:  - Sede Moreno: West Futbol 
,         Fútbol 5 y 7,        Torneo para niños,"      Vestuarios,    Cumpleaños,    Parrilla,    Estacionamiento",,1 Sedes:  - Sede Godoy Cruz: El Ombú Fútbol 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: (03491) 4561316 - 153641708               Fútbol 5            Vestuarios,    Torneos,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas   fotos                                      ",1 Sedes:  - Sede Rosario: Los Pinos 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol", Tel.: 0221-6180101 Web: www.facebook.com/EstadioAzteca86,1 Sedes:  - Sede La Plata: Estadio Azteca 86 fútbol 5 
,         Fútbol 5,,"      Vestuarios,    Cumpleaños,    Parrilla,    Estacionamiento"," Tel.: 0381 - 3045326 / 4363977                Fútbol 5            Vestuarios,    Cumpleaños,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede San Miguel de Tucumán: S&B Futbol 5 
,         Fútbol 5,"        Liga San Marcos es la liga de fútbol 7 por excelencia de la región. Durante tres años se desarrolló en el Country Club Palos Verdes (Fisherton) bajo una premisa excluyente que la caracteriza: Fair Play. En su cuarto año se muda a Tierra de Sueños (Roldán) a fin de seguir creciendo y la actividad.    Las temporadas se llevan a cabo entre los meses de marzo y octubre/noviembre, los días sábados entre las 12:00 y 18:00. Tres categorías conforman la liga que se disputa bajo el formato todos contra todos divido en Apertura y Clausura. Cada categoría se compone de 16 equipos que se enfrentan durante 15 fechas en cada torneo (un total de 30 fechas por temporada). Ascienden y descienden 3 equipos por torneo de manera que todos los equipos puedan mantener la motivación durante todo el trascurso de la temporada.","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños"," Tel.: 0341-153550881 / 156622753               Fútbol 5              Liga San Marcos es la liga de fútbol 7 por excelencia de la región. Durante tres años se desarrolló en el Country Club Palos Verdes (Fisherton) bajo una premisa excluyente que la caracteriza: Fair Play. En su cuarto año se muda a Tierra de Sueños (Roldán) a fin de seguir creciendo y la actividad.    Las temporadas se llevan a cabo entre los meses de marzo y octubre/noviembre, los días sábados entre las 12:00 y 18:00. Tres categorías conforman la liga que se disputa bajo el formato todos contra todos divido en Apertura y Clausura. Cada categoría se compone de 16 equipos que se enfrentan durante 15 fechas en cada torneo (un total de 30 fechas por temporada). Ascienden y descienden 3 equipos por torneo de manera que todos los equipos puedan mantener la motivación durante todo el trascurso de la temporada.           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Cumpleaños           ver todas                          ",1 Sedes:  - Sede Rosario: Tifosi 
,         Fútbol 5,"        Después de 5 años organizando torneos de fútbol amateur, buscamos crear una empresa y una marca para llevar a los torneos deportivos lo más alto posible.    Dorados SRL es una empresa que nace en el 2012 con fin de organizar eventos deportivos de alto nivel con seriedad, liderazgo y suma responsabilidad, estos tres eslabones son la base con la que trabajamos día a día para brindar el mejor producto al cliente, fomentar en él el sentido de pertenencia de la marca y el espíritu competitivo.    Después de 5 años organizando torneos de fútbol amateur, buscamos crear una empresa y una marca para llevar a los torneos deportivos lo más cerca posible de lo profesional. Para ello contamos con tres columnas fundamentales:    - ORGANIZACIÓN - RESPETO - DEPORTE -",," Tel.: 15-2170-2742               Fútbol 5              Después de 5 años organizando torneos de fútbol amateur, buscamos crear una empresa y una marca para llevar a los torneos deportivos lo más alto posible.    Dorados SRL es una empresa que nace en el 2012 con fin de organizar eventos deportivos de alto nivel con seriedad, liderazgo y suma responsabilidad, estos tres eslabones son la base con la que trabajamos día a día para brindar el mejor producto al cliente, fomentar en él el sentido de pertenencia de la marca y el espíritu competitivo.    Después de 5 años organizando torneos de fútbol amateur, buscamos crear una empresa y una marca para llevar a los torneos deportivos lo más cerca posible de lo profesional. Para ello contamos con tres columnas fundamentales:    - ORGANIZACIÓN - RESPETO - DEPORTE -     ",
,         Fútbol 7,,"      Vestuarios,    Torneos,    Parrilla,    Estacionamiento", Tel.: 0299-4225230 Web: www.facebook.com/canchas.elrafa.9,1 Sedes:  - Sede Neuquen: Canchas El Rafa 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 0348 - 152543493 Web: http://www.facebook.com/ColiseoFutbol5,1 Sedes:  - Sede Avellaneda: Coliseo Futbol 5 
,         Fútbol 5 y 7,"        Torneos de Fútbol 5 y 7 Masculino y Fútbol 5 Femenino, día sábados en los mejores predios de zona norte, inscripción abierta todo el año, anotate hoy y empezá a jugar yá!","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Estacionamiento,    Seguridad", Tel.:  1127464196 Web: www.texalfutbol.com,1 Sedes:  - Sede San Isidro: Marangoni - Sede Club Modelo 
,         Fútbol 5,        Torneos de fútbol 5 masculinos y femeninos. ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Estacionamiento", Tel.: 1530227833 Web: www.pasionesfutboleras.com.ar,1 Sedes:  - Sede Ramos Mejia: Parador 4 
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Parrilla,    Estacionamiento,    Seguridad", Tel.: 03543 - 491396/0351 – 156506163 Web: www.cgcecba.com.ar,1 Sedes:  - Sede Córdoba: Club Del Graduado 
,         Fútbol 5,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento"," Tel.: 011-1534368651               Fútbol 5            Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento           ver todas   fotos                                      ",1 Sedes:  - Sede Chacarita: La Canchita (Chacarita) 
,"         Fútbol 5, 8 y 11","        TORNEOS DE FÚTBOL 11 8 Y 5 JUGADO EN VILLA LUGANO EN UN COMPLEJO DE INSTALACIONES DE ALTO NIVEL, CÉSPED SINTÉTICO, VESTUARIOS REFACCIONADOS Y SERVICIO DE BUFFET. ARBITROS DE AFA, FOTOS, FILMACIÓN Y DETALLES DE LOS PARTIDOS. LA MEJOR ORGANIZACIÓN   CEL Y WSAAP :1538515091/1558406531","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol", Tel.: 1558406531 Web: FACEBOOK: TORNEOS LA DIEZ,1 Sedes:  - Sede Lugano: Lugano Tennis Club 
,         Fútbol 7,        También fútbol femenino.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 0261-153463858 / 0261-3463858 Web: www.benditofutbol.com.ar,1 Sedes:  - Sede Mendoza: Bendito Fútbol Country 
,         Fútbol 5,"        Torneo de fútbol 5 Pasión Argentina..  Días Domingos entre las 14 y 20hs  Sede Club General Mitre(spur 268, avellaneda)  Inscribite en un torneo como si fuera el de AFA, arbitros,planilleros,entrevistas,fotos y premios!  Inscribite no te quedes afuera","      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Tribuna / Gradas"," Tel.: 1557940966               Fútbol 5              Torneo de fútbol 5 Pasión Argentina..  Días Domingos entre las 14 y 20hs  Sede Club General Mitre(spur 268, avellaneda)  Inscribite en un torneo como si fuera el de AFA, arbitros,planilleros,entrevistas,fotos y premios!  Inscribite no te quedes afuera           Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Tribuna / Gradas           ver todas                          ",1 Sedes:  - Sede Avellaneda: Club Mitre 
,         Fútbol 5,"        TORNEO DE FÚTBOL 5 EN FLORESTA !!! EXCELENTE UBICACIÓN TUPAC AMARU 1030 ( ALT. JUAN B JUSTO 7350) , PRECIOS , PREMIOS !!! HORARIOS DE 21, 22, 23 y 00 HS, MARTES, MIÉRCOLES Y JUEVES O PODES JUGAR LOS DOMINGOS DURANTE EL DÍA!!! ARRANCA EN MARZO!!!  PARA MÁS INFORMACIÓN , MANDANOS UN MENSAJE PRIVADO O COMUNICATE AL 1537618154 o 1565673994.","      Gimnasio,    Vestuarios,    Bar / Restaurante,    Cumpleaños,    Escuelita de Fútbol,    Ayuda Médica ,    Torneos,    Colegios,    Parrilla,    "," Tel.: 1137618154               Fútbol 5              TORNEO DE FÚTBOL 5 EN FLORESTA !!! EXCELENTE UBICACIÓN TUPAC AMARU 1030 ( ALT. JUAN B JUSTO 7350) , PRECIOS , PREMIOS !!! HORARIOS DE 21, 22, 23 y 00 HS, MARTES, MIÉRCOLES Y JUEVES O PODES JUGAR LOS DOMINGOS DURANTE EL DÍA!!! ARRANCA EN MARZO!!!  PARA MÁS INFORMACIÓN , MANDANOS UN MENSAJE PRIVADO O COMUNICATE AL 1537618154 o 1565673994.           Gimnasio,    Vestuarios,    Bar / Restaurante,    Cumpleaños,    Escuelita de Fútbol,    Ayuda Médica ,    Torneos,    Colegios,    Parrilla,               ver todas   fotos                                                ",1 Sedes:  - Sede Floresta: Parthenon 
,,"        UN TORNEO FÚTBOL 6 ESTILO LIGA DE IDA Y VUELTA CON SEDE EN VILLA CRESPO , SERRANO 250.","      Bar / Restaurante,    Vestuarios,    Escuelita de Fútbol,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    Colegios,    "," Tel.: 1535113940                   UN TORNEO FÚTBOL 6 ESTILO LIGA DE IDA Y VUELTA CON SEDE EN VILLA CRESPO , SERRANO 250.           Bar / Restaurante,    Vestuarios,    Escuelita de Fútbol,    Gimnasio,    Ayuda Médica ,    Cumpleaños,    Colegios,               ver todas                          ",1 Sedes:  - Sede Villa Crespo: Serrano Corner 
,         Fútbol 5 y 8,"        Especialistas en Torneo de Futbol 8  Una de las ligas más grandes de capital federal (9 categorías con ascensos y descensos)  Y una variada oferta a tu medida:     Días de juego: TODOS.   Sedes Nuñez, Palermo y Martinez   Fútbol Femenino los domingos en capital.  Fútbol Senior +35 los días de semana en capital","      Vestuarios,    Gimnasio,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    Escuelita de Fútbol,    Estacionamiento,    Seguridad,    WiFi,    TV", Tel.: 152-657-0540 Web: www.estilofutbol.com.ar,5 Sedes:  - Sede Nuñez: Muni Futbol - Sede Nuñez: Grün - Sede Martínez: Club Banade - Sede Palermo: Palermo Fútbol - Sede Nuñez: Tiro Federal Argentino 
,         Fútbol 5,,"      Vestuarios,    Torneos,    Estacionamiento", Tel.: 011- 1556655867 Web: http://gabar.com.ar,
,"         Fútbol 5, 6 y 7",,"      Vestuarios,    Torneos,    Escuelita de Fútbol,    Cumpleaños,    Parrilla,    Estacionamiento", Tel.: 0351 - 153 89 9999 Web: http://www.facebook.com/lo.fut,1 Sedes:  - Sede Córdoba: Lomas Futboll 
,         Fútbol 11,"        MARTES Y JUEVES por la noche!  O   SABADOS por la tarde!    Grandes premios, precios accesibles y agradable clima!  ",      Vestuarios," Tel.: 1559826715               Fútbol 11              MARTES Y JUEVES por la noche!  O   SABADOS por la tarde!    Grandes premios, precios accesibles y agradable clima!             Vestuarios           ver todas                          ",1 Sedes:  - Sede Haedo: S.F. Haedo sur 
,         Fútbol 7,        Contactos: Santiago – Francisco – Pablo  ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla", Tel.: 0341-155032605/0341-153278110/0341-156243505 Web: www.torneostella.com.ar,1 Sedes:  - Sede Rosario: Complejo del Parque 
,         Fútbol 11,        Torneo semestral de cancha de 11 que se disputará los sábados en la cancha de césped sintético.,, Tel.: 011 4431-6262 Web: https://www.facebook.com/TorneoFerroFutbol11,
,         Fútbol 7 y 11,,"      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento", Tel.: 0351-156-196041 Web: www.3tiempo.reweb.com.ar,1 Sedes:  - Sede General Pacheco: Complejo Cacho 
,         Fútbol 11,        Contacto: Agustín Godoy,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento"," Tel.: 0261-153536380               Fútbol 11              Contacto: Agustín Godoy           Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento           ver todas                          ",
,         Fútbol 11,,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla", Tel.: 0341 – 4817033 Web: liga@ligabcoyseg.com.ar,1 Sedes:  - Sede Rosario: Complejo del Parque 
,         Fútbol 5 y 7,,"      Vestuarios,    Bar / Restaurante", Tel.: 0341 - 4342544 / 0341-153228885 Web: www.lospinosfutbol5.com.ar,1 Sedes:  - Sede Rosario: Los pinos futbol 5 
,         Fútbol 6 y 7,        Torneo de Futbol en el Complejo La gran Siete (Al lado de tribunales federales) los dias lunes y viernes,"      Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento"," Tel.: 3513507582               Fútbol 6 y 7              Torneo de Futbol en el Complejo La gran Siete (Al lado de tribunales federales) los dias lunes y viernes           Vestuarios,    Bar / Restaurante,    Parrilla,    Estacionamiento           ver todas                          ",1 Sedes:  - Sede Córdoba: La Gran Siete 
,         Fútbol 5,"        Torneo futbol 5 sobre cemento dias de juego Sabado por la mañana; Domingos, Sabados por la noche y dias de semana. Cuatro torneos distintos por categorias","      Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ,    Escuelita de Fútbol"," Tel.: 1533559012               Fútbol 5              Torneo futbol 5 sobre cemento dias de juego Sabado por la mañana; Domingos, Sabados por la noche y dias de semana. Cuatro torneos distintos por categorias           Vestuarios,    Bar / Restaurante,    Torneos,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla,    ,    Escuelita de Fútbol           ver todas                          ",3 Sedes:  - Sede Parque Chacabuco: Club del Pasaje - Sede Boedo: Quintino fútbol 5 - Sede Parque Chacabuco: San Carlos Club 
,         Fútbol 5,        Torneo de fútbol 5 modalidad todos contra todos.,"      Vestuarios,    Bar / Restaurante,    Parrilla"," Tel.: 3416230528               Fútbol 5              Torneo de fútbol 5 modalidad todos contra todos.           Vestuarios,    Bar / Restaurante,    Parrilla           ver todas                          ",
,         Fútbol 11,        Contacto: Fernando / Federico.  También fútbol 7 femenino. ,"      Vestuarios,    Bar / Restaurante,    Torneos,    Estacionamiento", Tel.: 0261-3366679 / 0261-6189574 Web: www.torneo-laplatea.com,
,         Fútbol 5,        Campeonato de modalidad infantil entre escuelas de la ciudad.,"      Vestuarios,    Bar / Restaurante,    Torneos,    Escuelita de Fútbol,    Ayuda Médica ,    Cumpleaños,    Colegios,    Parrilla", Tel.: 0341-4377470 / 0341-155480480 Web: ww.liga-intercolegial.com.ar/,1 Sedes:  - Sede Rosario: Complejo del Parque 
